Component,Explained_Variance,Cumulative_Variance
167,0.004562351917038623,96.67142780645118
168,0.004557565021961856,96.67598537147313
169,0.00453195756300393,96.68051732903614
170,0.00448514747800206,96.68500247651414
171,0.00445785991738445,96.68946033643152
172,0.004444285495556709,96.69390462192708
173,0.004431523549182551,96.69833614547626
174,0.004399769788212091,96.70273591526447
175,0.0043760237608677175,96.70711193902534
176,0.004360232011105296,96.71147217103643
177,0.004321542818811933,96.71579371385525
178,0.0042832597934370385,96.72007697364869
179,0.004258698261559039,96.72433567191024
180,0.004220209627391704,96.72855588153763
181,0.0041968124516509366,96.73275269398928
182,0.0041781970704511135,96.73693089105974
183,0.004159261499261654,96.741090152559
184,0.004115951715993409,96.74520610427498
185,0.004084840652166455,96.74929094492714
186,0.004070027274274749,96.75336097220142
187,0.004054878695195614,96.7574158508966
188,0.004044077954154412,96.76145992885077
189,0.004028434771568147,96.76548836362232
190,0.0040044806078574375,96.76949284423019
191,0.0039993117200505315,96.77349215595024
192,0.003980726603949093,96.77747288255418
193,0.003964929830295784,96.78143781238447
194,0.003950700707867512,96.78538851309234
195,0.003936196218414576,96.78932470931075
196,0.003895364265180191,96.79322007357594
197,0.0038756764974949677,96.79709575007344
198,0.003836385952169686,96.80093213602561
199,0.003827530557317539,96.80475966658292
200,0.0038157578195973426,96.80857542440252
201,0.0037781217428558152,96.81235354614537
202,0.003752635363249284,96.81610618150863
203,0.0037264286856208617,96.81983261019425
204,0.0037047160146881438,96.82353732620894
205,0.0036933312603335796,96.82723065746927
206,0.0036773401135486504,96.83090799758283
207,0.003648367173688036,96.83455636475652
208,0.003624682125729292,96.83818104688224
209,0.003572925305822459,96.84175397218806
210,0.0035697388648158793,96.84532371105288
211,0.003558169278889443,96.84888188033177
212,0.0035338447339721486,96.85241572506574
213,0.003512135172936325,96.85592786023868
214,0.0034947711703257377,96.859422631409
215,0.0034684195216813404,96.86289105093067
216,0.0034512099775556825,96.86634226090824
217,0.003428606914455714,96.8697708678227
218,0.003409107905437207,96.87317997572814
219,0.003373406380730918,96.87655338210887
220,0.003363782700877337,96.87991716480975
221,0.003338339495349113,96.8832555043051
222,0.003325313597781164,96.88658081790288
223,0.0033101437167621563,96.88989096161964
224,0.003298826366030226,96.89318978798566
225,0.0032855407498262315,96.8964753287355
226,0.0032781814298528493,96.89975351016535
227,0.0032573328216144166,96.90301084298697
228,0.0032560360428552956,96.90626687902983
229,0.003248645938974157,96.9095155249688
230,0.0032472529958012517,96.91276277796459
231,0.003246752395180287,96.91600953035977
232,0.0032465671362055474,96.91925609749597
233,0.0032457913587316412,96.92250188885471
234,0.0032449473540549054,96.92574683620876
235,0.0032430114360401216,96.9289898476448
236,0.003241943741422761,96.93223179138623
237,0.0032402473064211033,96.93547203869265
238,0.0032384689249610552,96.93871050761761
239,0.003236516254381976,96.94194702387199
240,0.003234091742289217,96.94518111561428
241,0.003232259850870579,96.94841337546515
242,0.0032306063340118707,96.95164398179917
243,0.003222400242036707,96.9548663820412
244,0.0032213137656307528,96.95808769580684
245,0.003218465706963621,96.9613061615138
246,0.0032108058576570857,96.96451696737147
247,0.0032072449257370982,96.9677242122972
248,0.0032063726221772063,96.97093058491937
249,0.003199213915299517,96.97412979883467
250,0.0031960164730739917,96.97732581530775
251,0.0031930567267207093,96.98051887203447
252,0.003185210279246045,96.98370408231372
253,0.0031814356972668227,96.98688551801098
254,0.0031753032317306876,96.99006082124271
255,0.003171751126958294,96.99323257236966
256,0.003163878860720239,96.9963964512304
257,0.00316263024632546,96.99955908147672
