pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_dens
1.9,6.36,698.0,3.1342791,0.9272488700976821
3.09,48.8,489.0,2.500311,1.654033813942007
5.20315158,22.4,602.99,24.283377,0.1590188410889193
10.816685,1722.6386,1198.0,9.47725,1.3611676749600121
5.05,26.78,767.0,3.49151,0.20793923329201858
3.18175535,12.3,1099.79,7.073076,0.38186052239078083
2.36507598,9.7,694.09,21.269084,0.7332236121277
1.39,57.0,831.0,2.38839,21.224157261324116
2.12,14.0,673.0,4.4929,1.469333745306528
2.52,15.0,533.0,9.0497,0.9373237831287717
2.9507845,19.5,651.64,37.46852,0.7589656678304385
2.47852533,16.6,1005.43,5.3846104,1.0902547891187275
3.14,10.8,443.0,18.85019,0.3488468544220732
8.04728896,96.0,707.89,10.2405549,0.18421392014559368
1.21612741,1.4,1269.21,2.799868,0.7783784516055061
1.2,0.96,944.2,1.9145601,0.5555555555555556
1.754,4.64,944.2,3.238486,0.8598629046741469
2.695,5.2,944.2,6.557569,0.26566053020004965
2.301,3.48,944.2,9.96318,0.2856468162880602
2.939,4.4,944.2,20.71663,0.17332209037734192
16.14093221,222.4798849,1927.0,3.208664,0.05290599792710922
3.29701268,8.7,992.91,8.765528,0.24274897255382827
2.079,5.738,493.7,10.64387,0.6385531857156415
2.99,10.32,747.0,6.293287,0.3860700682008487
4.29,8.0,588.0,12.885779,0.10132534950374453
1.49681583,2.44,1694.1,0.54937097,0.7275866531677849
6.9559,46.1687,895.1,4.532,0.13717900754609758
11.14172682,308.9292116,962.2,3.7130765,0.22335797226075316
12.778238,731.0053361,1375.0,4.860674,0.35035444257335924
7.5406241,67.4,423.63,38.8,0.15719474418006824
2.7438269,16.0,528.67,22.808533,0.7745507058626331
8.00321222,38.45723725,966.0,20.380799,0.07502138576481292
2.59987579,8.0,2007.6,1.7727471,0.4552313759333003
12.3485023,89.4,1199.55,9.5739181,0.047478245077870414
3.46,73.2,1479.0,1.2436258,1.767188125577354
18.49481816,360.0995851,1701.0,1.36414864,0.056920987232785644
9.39553231,129.0,674.54,45.52234,0.15553407088350754
11.09689089,212.9450327,378.0,29.090312,0.15583448364266314
13.97759893,638.8350981,2097.0,0.94667944,0.23393275973928737
9.07927437,54.03082919,944.2,104.854,0.07219185666035866
13.67495645,7024.007795,2290.0,4.0337142,2.746674079515777
2.7,11.0,1488.0,3.09833,0.5588578976781994
8.14,81.7,1038.0,9.127055,0.1514777486863041
11.99360935,2034.101805,944.2,17.305904,1.1790249291941892
11.82547464,184.3404761,944.2,52.977946,0.11147178655351724
11.13051784,4513.163379,944.2,2800.0,3.2729166488263983
11.81426566,408.7273314,400.2,141.834025,0.24786401638914615
3.309,9.2,530.9,3.348237,0.2539203604246148
2.268,9.2,944.2,7.435583,0.788603457227682
5.33275337,34.4,917.46,15.3444,0.2268318036509229
11.89272852,1144.182265,1166.0,8.8720982,0.680222035011377
14.20177855,254.2627256,1358.0,5.71548654,0.0887676022490351
16.14093221,731.0053361,944.2,1.4971842,0.17383399318907314
3.69441587,55.0,543.16,21.015327,1.0907503122948163
3.43087751,29.0,457.68,35.125686,0.7180957539021474
3.6831179,37.0,300.33,124.72997,0.7405508083562078
2.3,15.8,329.0,53.81149,1.2985945590531769
1.25,4.1,347.0,17.66484,2.0991999999999997
1.33,7.4,297.0,28.17232,3.1454066224411155
13.57407563,263.7975778,1397.0,2.4545467,0.10547268689692872
15.098497,1595.498603,3646.0,0.67247414,0.46354860366461964
2.122,6.8,384.0,5.7998164,0.711660356769185
2.08874836,4.5,780.53,16.34136,0.4938034820635292
2.69,9.13,666.0,9.2292005,0.4690443808971222
7.27,41.89,306.0,95.5,0.10902023849989839
2.19,6.37,395.0,7.851928,0.6064668791490498
3.147,20.1,728.0,18.261608,0.6449199753026723
12.41899699,1767.0,1363.43,10.261127,0.922522535659897
14.35870428,899.4543918,1802.0,3.3773512,0.3038319164513026
16.28664896,292.4021344,1580.0,3.8240801,0.06768389314703623
10.76062147,260.6192937,1188.0,8.60077,0.20916764196695747
10.1,177.9839079,944.2,34.525528,0.17274942749740124
8.0,18.75187601,944.2,17.16073,0.03662475783203125
12.50922246,329.5880581,1364.0,8.2148282,0.16837612860925896
11.32107051,875.6172613,348.0,260.79,0.6034646411296534
11.39953337,206.5884646,944.2,6.90683,0.13945845361105194
