pl_name,pl_rade,pl_eqt,habitability_score
TOI-1273 b,12.172974,1715.0,0.0
TOI-1278 b,5.3422266,943.19,0.0
TOI-128.01,3.09,489.0,0.0
TOI-1288 b,5.20315158,602.99,0.0
TOI-1294 b,10.816685,1198.0,0.0
TOI-1295 b,5.05,767.0,0.0
TOI-1296 b,3.18175535,1099.79,0.0
TOI-1333 b,2.52,533.0,0.0
TOI-1338 b,2.9507845,651.64,0.0
TOI-1346 b,2.47852533,1005.43,0.0
TOI-1346 c,3.14,443.0,0.0
TOI-1347 b,8.04728896,707.89,0.0
TOI-1347 c,1.21612741,1269.21,0.0
TOI-1386 b,1.2,944.2,0.0
TOI-139 b,1.754,944.2,0.0
TOI-1408 b,2.695,944.2,0.0
TOI-1410.01,2.939,944.2,0.0
TOI-1411 b,16.14093221,1927.0,0.0
TOI-1416 b,3.29701268,992.91,0.0
TOI-1422 b,2.99,747.0,0.0
TOI-1431 b,4.29,588.0,0.0
TOI-1437 b,1.49681583,1694.1,0.0
TOI-1438 b,6.9559,895.1,0.0
TOI-1438 c,11.14172682,962.2,0.0
TOI-1439 b,12.778238,1375.0,0.0
TOI-1442 b,7.5406241,423.63,0.0
TOI-1443 b,2.7438269,528.67,0.0
TOI-1444 b,8.00321222,966.0,0.0
TOI-1448 b,2.59987579,2007.6,0.0
TOI-1450 A b,12.3485023,1199.55,0.0
TOI-1451 b,3.46,1479.0,0.0
TOI-1452 b,18.49481816,1701.0,0.0
TOI-1453 b,9.39553231,674.54,0.0
TOI-1467 b,13.97759893,2097.0,0.0
TOI-1468 b,9.07927437,944.2,0.0
TOI-1468 c,13.67495645,2290.0,0.0
TOI-1470 b,2.7,1488.0,0.0
TOI-1470 c,8.14,1038.0,0.0
TOI-1472 b,11.99360935,944.2,0.0
TOI-1478 b,11.82547464,944.2,0.0
TOI-150.01,11.13051784,944.2,0.0
TOI-1516 b,11.81426566,400.2,0.0
TOI-157 b,3.309,530.9,0.0
TOI-163 b,5.33275337,917.46,0.0
TOI-1630.01,11.89272852,1166.0,0.0
TOI-1634 b,14.20177855,1358.0,0.0
TOI-1659.01,16.14093221,944.2,0.0
TOI-1669 c,3.69441587,543.16,0.0
TOI-1670 b,3.43087751,457.68,0.0
TOI-169 b,13.57407563,1397.0,0.0
TOI-1691 b,15.098497,3646.0,0.0
TOI-1695 b,2.69,666.0,0.0
TOI-1716.01,3.147,728.0,0.0
TOI-172 b,12.41899699,1363.43,0.0
TOI-1723 b,14.35870428,1802.0,0.0
TOI-1728 b,16.28664896,1580.0,0.0
TOI-1736 b,10.76062147,1188.0,0.0
TOI-1739 b,10.1,944.2,0.0
TOI-1742 b,8.0,944.2,0.0
TOI-1743 b,12.50922246,1364.0,0.0
HD 5278 b,2.004,1552.0,0.0
TOI-1749 b,11.39953337,944.2,0.0
TOI-1749 c,19.83989584,1763.0,0.0
TOI-1749 d,3.51,1860.0,0.0
TOI-1751 b,3.03,805.0,0.0
TOI-1753 b,10.95117414,944.2,0.0
TOI-1758 b,11.1529358,1259.0,0.0
TOI-1759 b,14.36991326,1688.0,0.0
TOI-1768.01,16.47720163,747.0,0.0
AU Mic b,21.59,2001.0,0.0
AU Mic c,1.193,944.2,0.0
TOI-1776 b,9.97599282,842.0,0.0
BD+05 4868 A b,2.61,422.0,0.0
TOI-178 b,11.2089807,799.0,0.0
BD-14 3065 b,2.13,693.0,0.0
TOI-178 d,2.451,544.0,0.0
TOI-178 e,16.11851425,1689.0,0.0
TOI-178 g,8.60849718,1091.0,0.0
TOI-1782.01,10.83908434,1000.0,0.0
TOI-1782.02,10.42435205,860.0,0.0
TOI-1789 b,6.81,885.0,0.0
TOI-1794 b,11.72459381,624.0,0.0
TOI-1798.01,1.559,1378.0,0.0
TOI-1798.02,12.25141591,1426.0,0.0
TOI-1799 b,11.48920522,889.7,0.0
GJ 1252 b,1.264,773.0,0.0
TOI-1803 b,9.86390302,1080.0,0.0
TOI-1803 c,15.02003414,1571.6,0.0
TOI-1806.01,10.36830715,1534.0,0.0
TOI-1807 b,1.52,458.0,0.0
GJ 143 b,0.699,1365.0,0.0
TOI-1811 b,9.60609646,414.0,0.0
TOI-1820 b,11.24,400.0,0.0
TOI-1823 b,2.83,1509.4,0.0
TOI-1824 b,12.1393261,1134.0,0.0
TOI-1836 b,11.14172682,1595.0,0.0
TOI-1836 c,6.06,1443.0,0.0
TOI-1842 b,2.74,944.2,0.0
TOI-1846 b,11.2089807,1100.0,0.0
TOI-1853 b,8.67575106,944.2,0.0
TOI-1855 b,10.13291855,944.2,0.0
TOI-1859 b,11.54525012,636.0,0.0
GJ 238 b,1.09,568.0,0.0
TOI-1883 b,10.92875618,1352.0,0.0
TOI-1898 b,7.16253867,1027.0,0.0
TOI-1899 b,13.64132951,1431.0,0.0
TOI-1937 A b,17.37392009,2410.0,0.0
TOI-198 b,14.4595851,1456.0,0.0
TOI-199 b,12.07207221,1445.0,0.0
TOI-1994 b,12.10569916,592.0,0.0
GJ 3090 b,1.331,940.0,0.0
TOI-2000 c,18.10250383,1387.0,0.0
TOI-2005 b,19.72780603,944.2,0.0
TOI-201 b,2.77,531.0,0.0
TOI-201 c,1.28,600.0,0.0
GJ 3473 b,2.05,1371.0,0.0
GJ 357 b,11.500434,1228.3,0.0
TOI-2018 b,13.72,1603.0,0.0
TOI-2019 b,17.26183028,1205.0,0.0
TOI-2025 b,18.11371281,1893.0,0.0
TOI-2031 A b,15.27784069,1376.0,0.0
GJ 367 b,3.05,944.2,0.0
TOI-2048 b,12.84549188,1471.0,0.0
TOI-206 b,1.42,979.0,0.0
GJ 3929 b,5.94,944.2,0.0
TOI-2076 b,9.6397234,929.0,0.0
TOI-2076 c,18.6405349,1978.0,0.0
TOI-2076 d,12.32987877,1186.0,0.0
TOI-2076 e,13.15934334,1544.0,0.0
TOI-2081 b,13.4,1358.0,0.0
TOI-2084 b,9.292245,1622.0,0.0
