pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_rad,st_met,planet_density,star_luminosity,HSI,SCI,star_type_G,star_type_K,star_type_M,habitable,star_type_F,habitability_probability,star_type_G,star_type_K,star_type_M
K2-345 b,2.11,5.1,10.367437,0.0787,437.0,101.32650000000001,3779.0,0.52,0.26,0.5429037109171869,0.04947708501806772,0.0,0.0003968253968253968,False,True,False,0,0,0.0,False,True,False
K2-346 b,2.26,5.73,26.201446,0.0787,450.0,8.8138,4801.0,0.7,-0.18,0.49639717873139955,0.2335676837151556,0.0,0.0008665210911233581,False,True,False,0,0,0.0,False,True,False
K2-415 b,1.015,7.5,4.0179694,0.027,412.4,4.82,5596.0,0.1965,-0.13,7.172377453057689,0.03397236509073952,0.09613998663612068,0.004835823782581363,True,False,False,0,0,0.02666666666666667,True,False,False
K2-419 A b,2.48,7.22,20.35847252,0.1208,377.0,3.3,3711.0,0.541,-0.11,0.47334975328119233,0.04980216210486414,0.0,0.0004356387335110739,False,True,False,0,0,0.0,False,True,False
K2-5 c,2.26,5.73,10.93241,0.0818,456.0,10.2,3930.0,0.57,-0.33,0.49639717873139955,0.06953600931431592,0.0,0.0004066412651423041,False,True,False,0,0,0.0,False,True,False
K2-62 c,1.99,4.62,16.19697,0.1148,495.0,14.3,4455.0,0.696,-0.1,0.5862498523272153,0.1711981875997624,0.0001838235294117649,0.0006866245536940401,False,True,False,0,0,0.0,False,True,False
K2-73 c,2.48,7.22,8.45778956,0.0787,186.1,0.285,5867.0,1.058,0.04,0.47334975328119233,1.1899413003513175,0.0,0.010683760683760684,True,False,False,0,0,0.0,True,False,False
K2-9 b,2.25,5.69,18.4498,0.091,314.0,1.36,5596.0,0.31,-0.25,0.49953360768175586,0.08455203426943697,0.0,0.004371584699453552,True,False,False,0,0,0.0033333333333333335,True,False,False
K2-99 c,2.48,7.22,8.45778956,0.0787,390.0,101.32650000000001,6069.0,0.94,0.2,0.47334975328119233,1.0755091440225513,0.0,0.0028538812785388126,False,False,False,0,0,0.0,False,False,False
KOI-1783.01,2.48,7.22,8.45778956,0.0787,412.0,5.7,5922.0,1.143,0.11,0.47334975328119233,1.4416370096552935,0.0,0.006213109661385522,True,False,False,0,0,0.0,True,False,False
KOI-1831 d,1.13,2.23,34.169,0.19924,475.0,11.8,5233.0,0.835,0.18,1.5455018618792613,0.46910033154558184,0.023836263020833335,0.0015521201961879929,True,False,False,0,0,0.0,True,False,False
KOI-351 h,2.48,7.22,8.45778956,0.0787,294.0,1.849,6031.13,1.185,0.083,0.47334975328119233,1.666945148877595,0.0,0.0036334200376356898,False,False,False,0,0,0.0,False,False,False
KOI-3680 b,2.48,7.22,8.45778956,0.0787,347.0,3.3,5830.0,0.96,0.16,0.47334975328119233,0.9552268802570936,0.0,0.016265452179570594,True,False,False,0,0,0.0,True,False,False
KOI-7913 b,2.34,6.08,24.278553,0.1456,432.0,8.27,4324.0,0.788,-0.06,0.4745216228889252,0.19475339002609146,0.0,0.0006483822861959412,False,True,False,0,0,0.0,False,True,False
Kepler-1009 b,2.17,5.35,11.35011917,0.0796,403.0,11.561,4027.0,0.57,-0.12,0.5235697908255502,0.07665951719866025,0.0,0.0005096216568819308,False,True,False,0,0,0.0,False,True,False
Kepler-1010 b,2.32,5.99,34.2685705,0.193,477.0,10.17,5253.0,0.82,-0.01,0.4796924330640864,0.4593536355528737,0.0,0.0018823175093174715,True,False,False,0,0,0.0,True,False,False
Kepler-102 f,0.861,4.3,27.453592,0.1656,495.0,10.0,4909.0,0.724,0.11,6.736882941493426,0.2731109486447397,0.022014204545454545,0.0010355182768975871,False,True,False,0,0,0.0033333333333333335,False,True,False
Kepler-1020 b,2.28,5.82,8.45778956,0.0787,325.0,2.339,5227.0,0.8,0.0,0.491041778036967,0.4286272958577793,0.0,0.0018115942028985507,True,False,False,0,0,0.0,True,False,False
Kepler-1026 b,2.21,5.52,36.5156053,0.1977,425.0,5.988,4948.0,0.75,-0.02,0.511401805155727,0.3025040131587428,0.0,0.0011797739553101626,False,True,False,0,0,0.0,False,True,False
Kepler-1040 b,2.08,4.98,8.45778956,0.0787,300.0,2.121,5694.0,0.96,0.01,0.5534002332726445,0.8691648753003833,0.0,0.011648223645894,True,False,False,0,0,0.0,True,False,False
Kepler-1052 c,2.3,5.9,8.45778956,0.0787,302.0,1.96,5818.0,0.848,-0.22,0.48491822141859137,0.7392246190150905,0.0,0.019992003198720514,True,False,False,0,0,0.0,True,False,False
Kepler-1060 b,2.38,6.26,8.45778956,0.2495,484.0,17.416,5797.0,0.99,-0.03,0.4643478745922492,0.9930553160934447,0.0,0.048543689320388356,True,False,False,0,0,0.0,True,False,False
Kepler-1086 b,2.44,6.53,18.78425728,0.1198,433.0,9.157,4350.0,0.66,0.06,0.4495144968081029,0.13993770555798715,0.0,0.0006601793046991562,False,True,False,0,0,0.0,False,True,False
Kepler-1090 b,2.25,5.69,8.45778956,0.0787,297.0,1.825,5321.0,0.82,-0.04,0.49953360768175586,0.4836047862489507,0.0,0.0020994289553241514,True,False,False,0,0,0.0,True,False,False
Kepler-1101 b,2.47,6.66,8.45778956,0.0787,393.0,3.577,5614.0,0.91,-0.04,0.4419604116283898,0.7380100361463078,0.0,0.005827505827505827,True,False,False,0,0,0.0,True,False,False
Kepler-1126 b,1.73,3.64,8.45778956,0.0787,374.0,4.55,5798.0,0.93,-0.26,0.7030125439455267,0.8769373973807205,0.03412162162162162,0.037792894935752074,True,False,False,0,0,0.0,True,False,False
Kepler-1126 c,1.45,2.7,8.45778956,0.0787,305.0,2.06,5678.0,0.921,0.02,0.8856451679035632,0.7910258264037344,0.16912899419026872,0.009706853038245,True,False,False,0,0,0.056666666666666664,True,False,False
Kepler-1132 b,2.35,6.12,8.45778956,0.0787,384.0,4.547,5298.0,0.83,-0.01,0.47157180971461043,0.4869606299497927,0.0,0.0020584179000020584,True,False,False,0,0,0.0,True,False,False
Kepler-1135 b,1.85,4.08,8.45778956,0.0787,451.0,25.76,5656.0,0.94,0.02,0.6443843405129015,0.811303146508094,0.0024328911310413535,0.007970667941973538,True,False,False,0,0,0.016666666666666666,True,False,False
Kepler-1151 b,2.22,5.56,8.45778956,0.0787,485.0,4.86,5470.0,0.85,-0.11,0.5081780100041603,0.5803326522811664,0.0,0.0029155368961194202,True,False,False,0,0,0.0,True,False,False
Kepler-1161 b,2.13,5.18,10.71252541,0.0784,485.0,26.229,4253.0,0.57,0.02,0.5360322869424294,0.09537204437266361,0.0,0.0006424588183897412,False,True,False,0,0,0.0,False,True,False
Kepler-1162 b,2.21,5.52,32.5637069,0.19,490.0,12.245,5390.0,0.84,-0.03,0.511401805155727,0.5343225250861521,0.0,0.002495819502333591,True,False,False,0,0,0.0,True,False,False
Kepler-1162 c,1.81,3.93,8.45778956,0.2832,401.0,6.14,5225.0,0.859,0.14,0.6627608187271585,0.4934252351533488,0.01616966230936819,0.001583380834758376,True,False,False,0,0,0.0,True,False,False
Kepler-1166 b,1.69,3.5,33.2406882,0.1975,486.0,14.188,5446.0,0.86,-0.02,0.7251167386155118,0.5837102242565643,0.006378390834869635,0.0029441205911794146,True,False,False,0,0,0.0,True,False,False
Kepler-1177 b,1.9,4.27,8.45778956,0.0787,377.0,11.862,5712.0,0.97,0.02,0.6225397288234437,0.8986407608360034,0.00537219889770038,0.014632718759145449,True,False,False,0,0,0.0,True,False,False
Kepler-1178 b,1.07,1.24,31.80634,0.1596,378.0,23.237,4990.0,0.75,-0.05,1.0122093673446564,0.31290648156574086,0.026380121302141353,0.001207073450419458,False,True,False,0,0,0.0,False,True,False
Kepler-1185 b,1.33,2.33,8.45778956,0.0787,355.0,9.31,5622.0,0.87,-0.04,0.9903780311199728,0.6784091866827013,0.049867307899558136,0.006124448799608035,True,False,False,0,0,0.0033333333333333335,True,False,False
Kepler-1196 b,2.23,5.6,8.45778956,0.0787,436.0,8.302,5756.0,0.97,0.0,0.5049791394019261,0.9266515564894856,0.0,0.043478260869565216,True,False,False,0,0,0.0,True,False,False
