P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P.Habitable,Habitability_Score
2.7503414,7.9997308,0.026,0,38.82512968697687
2.5718565,7.1384169,0.0608,0,16.83619260311722
1.3763357,2.4695236,0.029,0,35.20932554763923
2.3807127,6.2612117,0.089,0,11.655997340156334
1.5406737,2.9907615,0.0785,0,13.38792020692607
4.2230968,16.568374,0.082,0,12.431915007916674
2.4020004,6.3565601,0.06,0,17.082986330893203
4.17012,22.24796,0.0291,0,34.604062421106626
12.952003,1271.312,43.5,0,0.10019664104480974
2.1721284,5.3585801,0.06661,0,15.47313878754494
4.0140343,15.2,0.041000001,0,24.6393692305697
2.241415,5.652,0.074000001,0,13.959660073023421
1.160517,1.657,0.028999999,0,35.34444473121207
1.4879674,2.8191344,0.078361,0,13.43350794580022
12.477169,104.24758,1.135,0,0.9612036544931494
2.2574697,5.7209041,0.0505,0,20.244954028410525
1.777887,3.813936,0.125,0,8.562465443529312
1.4001882,2.542624,0.213,0,5.409025387534876
1.4001882,2.542624,0.156,0,7.1244461170401125
1.9468648,4.449592,0.549,1,2.335139975561541
3.3398154,11.12398,0.039,0,25.940443387287907
12.829992,1576.4269,1.82,0,0.6273929207318409
12.653108,2161.2304,6.6,0,0.23054711741633566
1.9468648,4.449592,0.041386533,0,24.676095522359116
2.7393849,7.9457001,0.18990551,0,5.630822100964878
2.9481483,9.000889,0.1344,0,7.779672152904539
4.5877261,19.06968,0.17,0,6.100325849367306
14.00223,216.12304,3.56,0,0.35231607209403815
2.182734,5.403076,0.163,0,6.593110353789937
13.766628,317.828,2.35,0,0.4981713440987935
12.895227,1404.7998,0.11,0,9.168457163540927
13.277472,723.2494,0.208317,0,4.8756918915005425
13.972031,226.99276,0.12959,0,7.788216358900544
2.472029,6.6743881,0.020807,0,48.46527478514977
3.9231124,14.620088,0.3343,0,3.246224812736312
4.6709671,19.66084,0.291,0,3.650514544050917
1.58061,4.9104426,0.0188,0,53.82415649654247
1.24431,0.83906593,0.03925,0,26.281365258734194
2.0178,4.0395939,0.05591,0,18.381477289965844
33.63,6356.5601,100.0,0,0.03973535533749628
12.185583,5085.248,320.0,0,0.08518919011712447
14.18065,3591.4564,2000.0,0,0.07101862925888447
3.6644504,13.021413,0.039435,0,25.63107657270787
2.235976,5.6287339,0.0905,0,11.496955748662698
2.4643939,6.639427,0.0917,0,11.310904696092686
14.78599,166.8597,0.05561,0,18.050008859367235
4.36069,23.398498,0.05254,0,19.26243913112576
13.486643,506.99605,4.13,0,0.3162781867019152
10.75039,67.061709,0.0384,0,26.134686547805863
14.25912,270.47163,0.04267557,0,23.502740828319393
12.246714,4538.5839,1.220941,0,0.9006949523707609
15.9182,1093.3283,0.0751911,0,13.36226751729693
11.8826,616.58633,0.095974547,0,10.50358589242555
14.44969,1332.6528,0.0413,0,24.282280697470224
11.7705,184.34024,0.092546544,0,10.890331938461374
13.044953,1080.6152,5.6,0,0.2552294280291499
11.15395,62.612117,0.0559,0,17.978741994230514
12.68972,92.805777,0.0466,0,21.538031413051872
12.521757,2739.6774,0.06814,0,14.755528740025113
9.71907,2302.9817,0.0361,0,27.803721527828657
12.4431,1547.8224,0.054062515,0,18.577470519681416
12.8915,785.03517,0.044368276,0,22.616196964847358
12.2189,425.88952,0.018557982,0,53.967009623193704
14.573,238.371,0.048704094,0,20.60077490412648
12.72335,180.84413,0.0466,0,21.537823120685598
