P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY,Predicted_Class,Habitability_Score,Confidence_Conservative,Confidence_Optimistic
Kepler-1455 b,5.3226161,2.16353,49.276764,0.22425127,293.80072,4075.0,0.088940916,0.6,0.62,-0.02,0,0.02099253,0.003303695,0.017688835
K2-125 b,5.369523,2.17474,21.750264,0.1213872,292.75529,3654.47,0.025568558,0.4,0.49,,0,0.011230096,0.0027902809,0.008439816
L 98-59 d,3.086051,1.5694,7.45086,0.05304,361.44471,3367.0,0.011065843,0.31,0.31,-0.5,0,0.008448424,0.008214263,0.00023416063
Wolf 1061 b,1.9101463,1.2074749,4.8869,0.037921875,422.93566,3342.0,0.010740829,0.31,0.29,-0.09,0,0.0042681335,0.004200876,6.725742e-05
Kepler-445 b,3.086051,1.5694,2.984151,0.02289888,421.39966,3157.0,0.0039248726,0.21,0.18,0.27,0,0.0041941837,0.0040570404,0.00013714348
Kepler-446 c,1.4635061,1.121,3.036179,0.024766731,460.89113,3359.0,0.0065697848,0.24,0.22,-0.3,0,0.0041640108,0.0040531885,0.00011082242
YZ Cet d,1.1410025,1.0457877,4.65627,0.027869979,333.71223,3056.0,0.0022583949,0.17,0.13,-0.26,0,0.0041446993,0.0040371483,0.00010755097
YZ Cet b,0.75007409,0.93028194,1.96876,0.01557,445.09281,3056.0,0.0022583949,0.17,0.13,-0.26,0,0.0041446993,0.0040371483,0.00010755097
YZ Cet c,0.97891025,1.0020232,3.06008,0.02091672,384.13006,3056.0,0.0022583949,0.17,0.13,-0.26,0,0.0041446993,0.0040371483,0.00010755097
Kepler-1649 b,1.2643012,1.07616,8.68909,0.0514,314.95646,3240.0,0.0061709028,0.25,0.22,-0.15,0,0.0041183657,0.0040436364,7.47292e-05
L 98-59 b,0.42881536,0.79591,2.25314,0.0234165,540.99208,3367.0,0.011065843,0.31,0.31,-0.5,0,0.004014104,0.0039021338,0.000111970374
Kepler-42 c,0.31248784,0.72865,0.45328509,0.006,719.81561,3068.0,0.0022940766,0.17,0.13,-0.33,0,0.003691822,0.003583685,0.00010813708
Kepler-42 d,0.13099629,0.57171,1.865169,0.0154,449.30011,3068.0,0.0022940766,0.17,0.13,-0.33,0,0.003691822,0.003583685,0.00010813708
Kepler-42 b,0.40755892,0.7847,1.2137672,0.0116,517.68776,3068.0,0.0022940766,0.17,0.13,-0.33,0,0.003691822,0.003583685,0.00010813708
BD-06 1339 c,54.03076,8.47229,125.94,0.45590175,220.65029,4324.0,0.10912625,,0.7,-0.14,0,0.0036393888,0.00041556932,0.0032238194
GJ 1061 b,1.38,1.1027747,3.204,0.021,354.75879,2953.0,0.0016580271,0.156,0.12,-0.08,0,0.0035810117,0.003516033,6.4978725e-05
TOI 270 b,2.0809278,1.24431,3.36008,0.0306,525.93868,3386.0,0.017006058,0.38,0.4,-0.17,0,0.0033411942,0.0032637306,7.746361e-05
LHS 1140 c,1.8084413,1.27794,3.777931,0.028035337,394.73241,3216.0,0.0042266024,0.21,0.18,-0.24,0,0.0029909278,0.002916114,7.48138e-05
HD 181720 b,127.1312,14.024252,956.0,1.91253,226.68203,5736.0,2.1822662,1.5,1.03,-0.62,0,0.0028962698,0.00030047016,0.0025957997
Kepler-16 b,105.83672,8.45234,228.776,0.70481678,188.3647,4450.0,0.14844152,0.65,0.69,-0.3,0,0.0028138158,0.00024181123,0.0025720047
KIC 5951458 b,35.383781,6.60269,1320.1,2.3387808,222.37178,6258.0,3.1748123,1.52,0.98,-0.5,0,0.002811688,0.00021566827,0.0025960198
Kepler-446 d,2.3754251,1.3452,5.148921,0.035220425,386.48745,3359.0,0.0065697848,0.24,0.22,-0.3,0,0.0026336748,0.002522682,0.00011099272
HD 20794 e,4.7705983,2.0284047,147.02,0.53040345,343.97038,5401.0,0.87959589,,0.7,-0.4,0,0.0026154872,0.0007190666,0.0018964205
tau Cet h,1.8306893,1.1932461,49.41,0.24942735,424.09232,5344.0,0.45951617,0.79299998,0.78,-0.55000001,0,0.0025665176,0.0022484872,0.00031803042
L 98-59 c,2.3754251,1.3452,3.690621,0.03253122,458.82618,3367.0,0.011065843,0.31,0.31,-0.5,0,0.0025406638,0.0024285277,0.00011213602
Kepler-446 b,2.7211983,1.4573,1.565409,0.015924616,574.77544,3359.0,0.0065697848,0.24,0.22,-0.3,0,0.0024315836,0.0023176956,0.00011388786
LTT 1445 A b,2.1993698,1.37883,5.35882,0.038757163,397.98932,3337.0,0.0087102282,0.28,0.26,-0.34,0,0.0023383528,0.002230069,0.00010828397
K2-72 d,1.0032039,1.0089,7.760178,0.0503025,380.24154,3360.47,0.012442757,0.33,0.27,,0,0.0022782567,0.0022105034,6.775322e-05
K2-72 b,1.2643012,1.07616,5.577212,0.040242,425.12297,3360.47,0.012442757,0.33,0.27,,0,0.0022782567,0.0022105034,6.775322e-05
GJ 273 c,1.1791419,1.0554253,4.7234,0.036993948,419.61315,3382.0,0.0098577785,0.29,0.29,0.09,0,0.002218396,0.0021506387,6.775728e-05
HD 114729 b,262.2081,13.883649,1121.79,2.0734501,217.14308,5844.0,2.2582091,1.47,0.94,-0.33,0,0.002124969,0.00014484725,0.0019801217
Kepler-69 c,3.5881927,1.71513,242.4613,0.646272,299.19809,5638.0,0.7829875,0.93,0.81,-0.29,0,0.001989711,0.00046885863,0.0015208524
GJ 581 e,1.657,1.160517,3.1530001,0.029226562,494.59254,3498.0,0.011992514,0.29899999,0.32300001,-0.13500001,0,0.0019815355,0.0019068462,7.4689335e-05
Kepler-1308 b,0.090498477,0.51566,2.1043381,0.022643449,592.33082,3468.0,0.01498176,0.34,0.35,-0.13,0,0.0019610997,0.0018891131,7.198648e-05
GJ 357 b,1.8402241,1.22189,3.93072,0.035,481.51579,3505.0,0.015631425,0.34,0.34,-0.12,0,0.0019610997,0.0018891131,7.198648e-05
Kepler-1650 b,0.85235786,0.96406,1.53818,0.018018031,643.25458,3410.0,0.013192711,0.33,0.33,-0.11,0,0.0019610997,0.0018891131,7.198648e-05
Kepler-186 b,1.2177294,1.06495,3.8867907,0.0343,644.43872,3755.0,0.048165392,0.52,0.54,-0.26,0,0.0019400095,0.0018452923,9.471726e-05
