name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
Kepler-154 g,Confirmed,0.37,0.9145,1250.0,0.102,0.15,Radial Velocity,Kepler-154,0.89,1.0,5690.0,-0.391,939.89,Unknown,2019,2019-12-03,Published in a refereed paper
Kepler-1550 b,Confirmed,0.37,0.269,225.582809,0.102,0.062,Primary Transit,Kepler-1550,1.07,1.11,5991.0,0.01,1202.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1551 b,Confirmed,0.37,0.237,24.4973698,0.102,0.062,Primary Transit,Kepler-1551,1.14,1.22,6136.0,0.01,1560.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1552 b,Confirmed,0.37,0.22,184.771853,0.102,0.062,Primary Transit,Kepler-1552,0.85,0.78,5202.0,-0.07,618.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1553 b,Confirmed,0.37,0.103,4.24261881,0.102,0.062,Primary Transit,Kepler-1553,0.85,0.81,5288.0,-0.09,719.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1554 b,Confirmed,0.37,0.259,198.088774,0.102,0.062,Primary Transit,Kepler-1554,0.84,0.81,5297.0,-0.1,982.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1555 b,Confirmed,0.37,0.144,8.10501635,0.102,0.062,Primary Transit,Kepler-1555,1.04,1.06,5866.0,0.03,1382.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1556 b,Confirmed,0.37,0.175,8.82713457,0.102,0.062,Primary Transit,Kepler-1556,0.97,0.95,5608.0,0.08,1060.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1557 b,Confirmed,0.37,0.136,3.74032496,0.102,0.062,Primary Transit,Kepler-1557,1.11,1.17,6099.0,0.02,1532.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1558 b,Confirmed,0.37,0.066985,3.50470358,0.102,0.062,Primary Transit,Kepler-1558,0.83,0.79,5101.0,0.0,343.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1559 b,Confirmed,0.37,0.066985,0.97191543,0.102,0.062,Primary Transit,Kepler-1559,0.86,0.82,5316.0,-0.04,580.0,Unknown,2016,2021-02-05,Announced on a website
