name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
K2-103 b,Confirmed,0.37,0.177,21.169861,0.131,0.06,Primary Transit,EPIC 211822797,0.66,0.57,4148.21,,187.19,M0,2016,2022-02-11,Published in a refereed paper
K2-104 b,Confirmed,0.37,0.175,1.974238,0.023,0.09,Primary Transit,K2-104,0.43,0.49,3546.46,,190.21,M2.5e,2016,2021-02-05,Published in a refereed paper
K2-105 b,Confirmed,0.094,0.301,8.267704,0.0796,0.062,Primary Transit,K2-105,0.99,0.91,5464.0,0.25,199.28,K1,2017,2021-02-05,Published in a refereed paper
K2-106 b,Confirmed,0.0245,0.14952,0.5713127,0.01314,0.0,Primary Transit,K2-106,0.97,0.98,5617.0,0.13,246.1,G5 V,2016,2024-02-22,Published in a refereed paper
K2-106 c,Confirmed,0.018,0.2534,13.339079,0.1091,0.18,Primary Transit,K2-106,0.97,0.98,5617.0,0.13,246.1,G5 V,2016,2024-02-23,Published in a refereed paper
K2-107 b,Confirmed,0.84,1.426,3.313959,0.0475,0.062,Primary Transit,K2-107,1.3,1.81,6061.0,0.14,696.95,F9 IV,2017,2021-02-05,Published in a refereed paper
K2-108 b,Confirmed,0.187,0.476,4.733999,0.0581,0.18,Primary Transit,K2-108,1.17,1.76,5599.0,0.36,484.99,Unknown,2017,2021-02-05,Published in a refereed paper
K2-10 b,Confirmed,0.08495,0.343,19.3044,0.102,0.31,Primary Transit,K2-10,0.973,0.968,5533.0,-0.07,272.36,G5V,2015,2024-08-16,Published in a refereed paper
K2-110 b,Confirmed,0.0525,0.228,13.86387,0.1027,0.079,Primary Transit,K2-110,0.75,0.71,4950.0,-0.21,116.84,K3 V,2017,2021-02-05,Published in a refereed paper
K2-111 b,Confirmed,0.01664,0.162,5.3518,0.057,0.13,Primary Transit,K2-111,0.84,1.25,5775.0,-0.46,201.7,G2,2017,2021-02-05,Published in a refereed paper
K2-111 c,Confirmed,0.37,0.219,15.6805,0.1157,0.07,Radial Velocity,K2-111,0.84,1.25,5775.0,-0.46,201.7,G2,2020,2023-12-10,Published in a refereed paper
K2-113 b,Confirmed,1.28,1.083,5.817685,0.0642,0.0,Primary Transit,K2-113,1.04,1.24,5660.0,0.27,649.75,G,2017,2021-02-05,Published in a refereed paper
K2-114 b,Confirmed,1.85,0.952,11.391013,0.0954,0.0,Primary Transit,K2-114,0.89,0.84,5044.0,0.39,484.8,Unknown,2017,2021-02-05,Published in a refereed paper
K2-115 b,Confirmed,0.84,1.115,20.273034,0.1367,0.137,Primary Transit,K2-115,0.95,0.88,5657.0,-0.1,418.58,G4,2017,2024-05-28,Published in a refereed paper
K2-116 b,Confirmed,0.37,0.066985,4.655411,0.048,0.06,Primary Transit,K2-116,0.69,0.67,4348.35,,49.46,K7V,2017,2021-02-05,Published in a refereed paper
K2-117 b,Confirmed,0.37,0.181,1.2916,0.0189,0.06,Primary Transit,K2-117,0.54,0.51,3778.0,-0.05,101.95,M1.0 V,2017,2021-02-05,Published in a refereed paper
K2-117 c,Confirmed,0.37,0.184,5.444017,0.0492,0.15,Primary Transit,K2-117,0.54,0.51,3778.0,-0.05,101.95,M1.0 V,2017,2021-02-05,Published in a refereed paper
K2-118 b,Confirmed,0.37,0.227,50.92092,0.245,0.2,Primary Transit,K2-118,0.76,0.73,4726.29,,324.7,K3V,2017,2021-02-05,Published in a refereed paper
K2-119 b,Confirmed,0.37,0.226,7.727283,0.0698,0.07,Primary Transit,K2-119,0.76,0.71,4740.0,-0.05,369.66,K5V,2017,2021-02-05,Published in a refereed paper
K2-11 b,Confirmed,0.37,0.674,39.93767,0.2257,0.062,Primary Transit,K2-11,0.9,0.85,5257.0,0.1,332.46,G8V,2015,2024-08-16,Published in a refereed paper
K2-120 Ab,Confirmed,0.37,0.179,9.562742,0.078,0.14,Primary Transit,K2-120 A,0.69,0.67,4349.9,0.3,287.156,K7V,2017,2024-08-01,Published in a refereed paper
K2-121 b,Confirmed,0.37,0.669,5.185761,0.0525,0.22,Primary Transit,K2-121,0.72,0.68,4551.0,-0.04,170.37,K5V,2017,2021-02-05,Published in a refereed paper
K2-122 Ab,Confirmed,0.37,0.108,2.219282,0.0285,0.21,Primary Transit,K2-122 A,0.63,0.59,4009.0,0.32,72.0444,M0V,2017,2024-07-30,Published in a refereed paper
K2-123 b,Confirmed,0.37,0.246,30.951524,0.1649,0.06,Primary Transit,K2-123,0.62,0.59,4035.0,0.03,162.36,M0V,2017,2021-02-05,Published in a refereed paper
K2-124 b,Confirmed,0.033,0.259,6.413651,0.049,0.08,Primary Transit,K2-124,0.39,0.39,3570.0,0.023,140.4,M3V,2017,2021-02-05,Published in a refereed paper
K2-125 b,Confirmed,0.37,0.194,21.750264,0.121,0.08,Primary Transit,K2-125,0.49,0.4,3654.47,,124.6,M2V,2017,2021-02-05,Published in a refereed paper
K2-126 b,Confirmed,0.37,0.176,7.385655,0.0656,0.06,Primary Transit,K2-126,0.69,0.65,4339.0,0.02,103.29,K7V,2017,2021-02-05,Published in a refereed paper
K2-127 b,Confirmed,0.37,0.747,3.588163,0.0411,0.12,Primary Transit,K2-127,0.72,0.66,4575.0,-0.11,723.97,K3V,2017,2021-02-05,Published in a refereed paper
K2-128 b,Confirmed,0.37,0.127,5.675819,0.056,0.23,Primary Transit,K2-128,0.71,0.78,4469.51,,115.01,K4V,2017,2021-02-05,Published in a refereed paper
K2-129 b,Confirmed,0.37,0.093,8.239493,0.057,0.13,Primary Transit,K2-129,0.36,0.36,3459.09,,27.82,M3V,2017,2021-02-05,Published in a refereed paper
K2-12 b,Confirmed,0.37,0.208,8.28212,0.0802,0.062,Primary Transit,K2-12,0.93,1.12,5675.0,0.01,329.36,G3V,2015,2024-08-16,Published in a refereed paper
K2-130 b,Confirmed,0.37,0.112,2.49412,0.032,0.17,Primary Transit,K2-130,0.7,0.74,4356.47,,118.41,K5V,2017,2021-02-05,Published in a refereed paper
K2-131 b,Confirmed,0.37,0.152,0.5700292145,0.012,0.0,Primary Transit,K2-131,0.84,0.75,5245.0,-0.17,153.7,Unknown,2017,2021-02-05,Published in a refereed paper
K2-132 b,Confirmed,0.49,1.3,9.1751,0.0916,0.29,Primary Transit,K2-132,1.08,3.85,4840.0,-0.01,620.41,K,2017,2021-02-05,Published in a refereed paper
K2-133 b,Confirmed,0.0069,0.12,3.07133,0.03194,0.062,Primary Transit,K2-133,0.46,0.46,3655.0,,75.2,M1.5 V,2017,2021-02-05,Published in a refereed paper
K2-133 c,Confirmed,0.01,0.143,4.86784,0.04341,0.062,Primary Transit,K2-133,0.46,0.46,3655.0,,75.2,M1.5 V,2017,2021-02-05,Published in a refereed paper
K2-133 d,Confirmed,0.026,0.179,11.02454,0.07487,0.062,Primary Transit,K2-133,0.46,0.46,3655.0,,75.2,M1.5 V,2017,2021-02-05,Published in a refereed paper
K2-133 e,Confirmed,0.37,0.154,26.5841,0.1346,0.062,Primary Transit,K2-133,0.46,0.46,3655.0,,75.2,M1.5 V,2019,2023-10-23,Published in a refereed paper
K2-136 Ab,Confirmed,0.37,0.088,7.975292,0.102,0.1,Primary Transit,K2-136 A,0.742,0.677,4500.0,-0.02,59.2474,K5V,2017,2024-07-28,Published in a refereed paper
K2-136 Ac,Confirmed,0.37,0.26,17.307137,0.102,0.13,Primary Transit,K2-136 A,0.742,0.677,4500.0,-0.02,59.2474,K5V,2017,2024-07-28,Published in a refereed paper
K2-136 Ad,Confirmed,0.37,0.129,25.575065,0.102,0.14,Primary Transit,K2-136 A,0.742,0.677,4500.0,-0.02,59.2474,K5V,2017,2024-07-28,Published in a refereed paper
K2-137 b,Confirmed,0.5,0.079,0.5700292145,0.012,0.0,Primary Transit,K2-137,0.46,0.44,3492.0,0.08,99.15,M3 V,2017,2024-09-10,Published in a refereed paper
K2-138 b,Confirmed,0.0098,0.14,2.35322,0.0338,0.403,Primary Transit,K2-138,0.93,0.86,5378.0,0.16,183.0,K1 V,2017,2021-03-26,Published in a refereed paper
K2-138 c,Confirmed,0.0198,0.225,3.55987,0.04454,0.296,Primary Transit,K2-138,0.93,0.86,5378.0,0.16,183.0,K1 V,2017,2021-03-26,Published in a refereed paper
K2-138 d,Confirmed,0.0249,0.237,5.40478,0.05883,0.348,Primary Transit,K2-138,0.93,0.86,5378.0,0.16,183.0,K1 V,2017,2021-03-26,Published in a refereed paper
K2-138 e,Confirmed,0.0409,0.294,8.26144,0.07807,0.315,Primary Transit,K2-138,0.93,0.86,5378.0,0.16,183.0,K1 V,2017,2021-03-26,Published in a refereed paper
K2-138 f,Confirmed,0.0052841500000000005,0.251,12.75759,0.1043,0.364,Primary Transit,K2-138,0.93,0.86,5378.0,0.16,183.0,K1 V,2017,2021-03-26,Published in a refereed paper
K2-138 g,Confirmed,0.0135,0.2688,41.96797,0.231,0.059,Primary Transit,K2-138,0.93,0.86,5378.0,0.16,183.0,K1 V,2018,2019-10-01,Published in a refereed paper
K2-139 b,Confirmed,0.381,0.813,28.380619,0.1796,0.0,Primary Transit,K2-139,0.96,0.88,5370.0,0.24,154.6,K0 V,2017,2021-02-05,Published in a refereed paper
K2-13 b,Confirmed,0.37,0.169,39.91488,0.2114,0.062,Primary Transit,K2-13,0.8,0.78,5698.0,-0.54,345.76,G3,2015,2021-02-05,Published in a refereed paper
K2-140 b,Confirmed,0.93,1.093,6.56918,0.0687,0.12,Primary Transit,K2-140,1.0,0.99,5705.0,0.13,341.6,G5,2017,2021-02-05,Published in a refereed paper
K2-141 b,Confirmed,0.01598,0.135,0.5700292145,0.102,0.0,Primary Transit,K2-141 ,0.708,0.681,4599.0,-0.06,61.0,Unknown,2018,2021-02-05,Published in a refereed paper
K2-141 c,Confirmed,0.02328,0.624,7.7485,0.102,0.0,Primary Transit,K2-141 ,0.708,0.681,4599.0,-0.06,61.0,Unknown,2018,2021-02-05,Published in a refereed paper
K2-146 b,Confirmed,0.01816,0.183,2.6446,0.027,0.129,Primary Transit,K2-146,0.33,0.33,3385.0,-0.02,79.31,M3.0 V,2018,2021-02-05,Published in a refereed paper
K2-146 c,Confirmed,0.02358,0.195,4.00498,0.034,0.075,Primary Transit,K2-146,0.33,0.33,3385.0,-0.02,79.31,M3.0 V,2019,2021-02-05,Published in a refereed paper
K2-147 b,Confirmed,0.37,0.123,0.961917,0.0159,0.062,Primary Transit,K2-147,0.58,0.55,3672.0,0.19,88.0,Unknown,2018,2021-02-05,Published in a refereed paper
K2-148 Ab,Confirmed,0.37,0.119,4.38395,0.0454,0.062,Primary Transit,K2-148 A,0.639,0.6739,4081.0,-0.11,124.458,M0V,2018,2024-06-11,Published in a refereed paper
K2-148 Ac,Confirmed,0.37,0.154,6.9226,0.0616,0.062,Primary Transit,K2-148 A,0.639,0.6739,4081.0,-0.11,124.458,M0V,2018,2024-06-11,Published in a refereed paper
K2-148 Ad,Confirmed,0.37,0.146,9.7579,0.0774,0.062,Primary Transit,K2-148 A,0.639,0.6739,4081.0,-0.11,124.458,M0V,2018,2024-06-11,Published in a refereed paper
K2-149 b,Confirmed,0.37,0.146,11.332,0.083,0.062,Primary Transit,K2-149,0.59,0.57,3745.0,0.11,118.0,M1.0 V,2018,2021-02-05,Published in a refereed paper
K2-14 b,Confirmed,0.37,0.429,8.36802,0.0627,0.062,Primary Transit,K2-14,0.47,0.45,3789.0,-0.37,367.72,M0,2015,2021-02-05,Published in a refereed paper
K2-150 b,Confirmed,0.37,0.178,10.59357,0.0727,0.062,Primary Transit,K2-150,0.46,0.44,3499.0,0.09,110.0,M2.5 V,2018,2021-02-05,Published in a refereed paper
K2-151Bb,Confirmed,0.37,0.133,3.835476,0.0373,0.062,Primary Transit,K2-151 B,0.455,0.458,3659.0,-0.19,69.48,M1.5V,2018,2024-07-30,Published in a refereed paper
K2-152 b,Confirmed,0.37,0.204,32.6479,0.1716,0.062,Primary Transit,K2-152,0.63,0.61,4044.0,0.12,108.7,M0.0 V,2018,2021-02-05,Published in a refereed paper
K2-153 b,Confirmed,0.37,0.178,7.51574,0.0614,0.062,Primary Transit,K2-153,0.55,0.53,3845.0,-0.09,143.6,M3.0 V,2018,2021-02-05,Published in a refereed paper
K2-154 b,Confirmed,0.37,0.178,3.67626,0.0405,0.062,Primary Transit,K2-154,0.65,0.63,4097.0,0.21,129.8,M0.0 V,2018,2021-02-05,Published in a refereed paper
K2-154 c,Confirmed,0.37,0.185,7.95486,0.0677,0.062,Primary Transit,K2-154,0.65,0.63,4097.0,0.21,129.8,M0.0 V,2018,2021-02-05,Published in a refereed paper
K2-155 b,Confirmed,0.0148,0.161,6.342,0.0562,0.062,Primary Transit,K2-155,0.65,0.58,4258.0,-0.3,82.0,K7,2018,2021-02-05,Published in a refereed paper
K2-155 c,Confirmed,0.0205,0.232,13.85,0.0946,0.062,Primary Transit,K2-155,0.65,0.58,4258.0,-0.3,82.0,K7,2018,2021-02-05,Published in a refereed paper
K2-155 d,Confirmed,0.0154,0.17,40.718,0.1937,0.062,Primary Transit,K2-155,0.65,0.58,4258.0,-0.3,82.0,K7,2018,2021-02-05,Published in a refereed paper
K2-156 b,Confirmed,0.37,0.103,0.81314,0.0149,0.062,Primary Transit,K2-156,0.66,0.66,4597.0,-0.25,150.4,Unknown,2018,2021-02-05,Published in a refereed paper
K2-157 b,Confirmed,0.0052841500000000005,0.08342,0.5700292145,0.012,0.062,Primary Transit,K2-157,0.89,0.86,5334.0,0.02,290.2,G8V,2018,2025-04-30,Published in a refereed paper
K2-157 c,Confirmed,0.0969,0.219,25.942,0.165,0.2,Radial Velocity,K2-157,0.89,0.86,5334.0,0.02,290.2,G8V,2025,2025-04-30,Published in a refereed paper
K2-157 d,Confirmed,0.0733,0.219,66.5,0.309,0.5,Radial Velocity,K2-157,0.89,0.86,5334.0,0.02,290.2,G8V,2025,2025-04-30,Published in a refereed paper
K2-158 b,Confirmed,0.37,0.236,10.06049,0.0887,0.062,Primary Transit,K2-158,0.92,0.95,5503.0,0.07,198.2,Unknown,2018,2021-02-05,Published in a refereed paper
K2-158 c,Confirmed,0.37,0.114,5.90279,0.0622,0.062,Primary Transit,K2-158,0.92,0.95,5503.0,0.07,198.2,Unknown,2018,2021-02-05,Published in a refereed paper
K2-159 b,Confirmed,0.37,0.202,12.42205,0.1013,0.062,Primary Transit,K2-159,0.9,0.83,5425.0,-0.07,171.9,Unknown,2018,2021-02-05,Published in a refereed paper
K2-15 b,Confirmed,0.37,0.221,11.8104,0.091,0.062,Primary Transit,K2-15,0.72,0.68,5131.0,-0.46,501.03,G8,2015,2021-02-05,Published in a refereed paper
K2-160 b,Confirmed,0.37,0.284,3.705871,0.102,0.062,Primary Transit,K2-160,0.98,0.91,5649.0,0.07,318.19,Unknown,2018,2021-02-05,Published in a refereed paper
K2-161 b,Confirmed,0.37,0.546,9.283188,0.102,0.062,Primary Transit,K2-161,0.99,2.57,4972.0,-0.03,941.09,G,2018,2021-02-05,Published in a refereed paper
K2-162 b,Confirmed,0.37,0.128,9.45889,0.0795,0.062,Primary Transit,K2-162,0.75,0.69,4842.0,-0.17,125.1,Unknown,2018,2021-02-05,Published in a refereed paper
K2-163 b,Confirmed,0.37,0.22,6.673117,0.102,0.062,Primary Transit,K2-163,0.83,0.76,4937.0,0.14,209.67,Unknown,2018,2021-02-05,Published in a refereed paper
K2-164 b,Confirmed,0.37,0.29,17.355066,0.102,0.062,Primary Transit,K2-164,1.18,2.2,5791.0,-0.23,379.64,Unknown,2018,2021-02-05,Published in a refereed paper
K2-165 b,Confirmed,0.37,0.114,2.354992,0.102,0.062,Primary Transit,K2-165,0.83,0.8,5185.0,-0.05,135.1,Unknown,2018,2021-02-05,Published in a refereed paper
K2-165 c,Confirmed,0.37,0.139,4.382745,0.102,0.062,Primary Transit,K2-165,0.83,0.8,5185.0,-0.05,135.1,Unknown,2018,2021-02-05,Published in a refereed paper
K2-165 d,Confirmed,0.37,0.236,14.101361,0.102,0.062,Primary Transit,K2-165,0.83,0.8,5185.0,-0.05,135.1,Unknown,2018,2021-02-05,Published in a refereed paper
K2-166 b,Confirmed,0.37,0.195,8.52695,0.0858,0.062,Primary Transit,K2-166,1.07,0.96,5540.0,,481.0,Unknown,2018,2024-09-10,Published in a refereed paper
K2-166 c,Confirmed,6.0,0.109,3.80464,0.102,0.062,Primary Transit,K2-166,1.07,0.96,5540.0,,481.0,Unknown,2019,2024-05-22,Published in a refereed paper
K2-167 b,Confirmed,0.37,0.2088,9.9785275,0.102,0.062,Primary Transit,K2-167,1.02,1.83,5908.0,-0.45,81.08,F7 V,2018,2021-08-23,Published in a refereed paper
K2-168 b,Confirmed,0.37,0.166,15.8523,0.0979,0.062,Primary Transit,K2-168,0.88,0.83,5502.7,,245.56,Unknown,2018,2021-02-05,Published in a refereed paper
K2-168 c,Confirmed,0.37,0.117,8.050722,0.06231,0.062,Primary Transit,K2-168,0.88,0.83,5502.7,,245.56,Unknown,2019,2024-05-28,Published in a refereed paper
K2-169 b,Confirmed,0.37,0.114,6.380803,0.102,0.062,Primary Transit,K2-169,0.99,0.92,5548.0,0.26,237.35,Unknown,2018,2021-02-05,Published in a refereed paper
K2-16 b,Confirmed,0.37,0.18,7.6188,0.0667,0.062,Primary Transit,K2-16,0.67,0.66,4761.0,-0.33,338.19,K3 V,2015,2021-02-05,Published in a refereed paper
K2-16 c,Confirmed,0.37,0.227,19.07863,0.1229,0.062,Primary Transit,K2-16,0.67,0.66,4761.0,-0.33,338.19,K3 V,2015,2021-02-05,Published in a refereed paper
K2-16 d,Confirmed,0.37,0.092,2.71578,0.102,0.062,Primary Transit,K2-16,0.67,0.66,4761.0,-0.33,338.19,K3 V,2019,2021-08-17,Published in a refereed paper
K2-170 b,Confirmed,0.37,0.127,7.576544,0.102,0.062,Primary Transit,K2-170,0.96,0.98,5748.0,-0.11,397.26,Unknown,2018,2021-02-05,Published in a refereed paper
K2-170 c,Confirmed,0.37,0.161,12.400047,0.102,0.062,Primary Transit,K2-170,0.96,0.98,5748.0,-0.11,397.26,Unknown,2018,2021-02-05,Published in a refereed paper
K2-171 b,Confirmed,0.37,0.24,5.628466,0.102,0.062,Primary Transit,K2-171,0.89,1.72,5250.0,-0.09,616.41,Unknown,2018,2021-02-05,Published in a refereed paper
K2-172 b,Confirmed,0.37,0.149,14.316941,0.102,0.062,Primary Transit,K2-172,0.93,0.87,5569.0,-0.06,251.51,Unknown,2018,2021-02-05,Published in a refereed paper
K2-172 c,Confirmed,0.37,0.286,29.62682,0.102,0.062,Primary Transit,K2-172,0.93,0.87,5569.0,-0.06,251.51,Unknown,2018,2021-02-05,Published in a refereed paper
K2-173 Ab,Confirmed,0.37,0.143,5.868699,0.102,0.062,Primary Transit,K2-173 A,0.983,1.0,5573.35,-0.533,228.641,G4V,2018,2024-08-01,Published in a refereed paper
K2-174 b,Confirmed,0.0289,0.232,19.562307,0.126,0.062,Primary Transit,K2-174,0.7,0.68,4455.0,0.113,100.1,Unknown,2018,2021-02-05,Published in a refereed paper
K2-175 Ab,Confirmed,0.37,0.182,9.525988,0.102,0.062,Primary Transit,K2-175 A,1.081,1.673,5929.25,0.0356,249.01,G0IV,2018,2024-08-01,Published in a refereed paper
K2-176 b,Confirmed,0.37,0.133,5.329439,0.102,0.062,Primary Transit,K2-176,0.94,0.86,5428.0,0.15,249.01,Unknown,2018,2021-02-05,Published in a refereed paper
K2-177 b,Confirmed,0.37,0.189,14.155185,0.102,0.062,Primary Transit,K2-177,1.21,1.21,6063.0,0.41,499.02,Unknown,2018,2021-02-05,Published in a refereed paper
K2-178 b,Confirmed,0.37,0.317,8.747818,0.102,0.062,Primary Transit,K2-178,0.95,0.89,5525.0,0.09,216.08,Unknown,2018,2021-02-05,Published in a refereed paper
K2-179 b,Confirmed,0.37,0.224,5.172191,0.102,0.062,Primary Transit,K2-179,0.82,0.77,5015.0,0.03,191.84,Unknown,2018,2021-02-05,Published in a refereed paper
K2-17 b,Confirmed,0.37,0.199,17.96753,0.119,0.062,Primary Transit,K2-17,0.71,0.66,4320.0,0.15,125.56,K7,2015,2021-02-05,Published in a refereed paper
K2-180 b,Confirmed,0.036,0.206,8.867209,0.0753,0.062,Primary Transit,K2-180,0.72,0.72,5358.0,-0.54,204.51,K2V,2018,2021-02-05,Published in a refereed paper
K2-181 b,Confirmed,0.37,0.253,6.894256,0.0706,0.062,Primary Transit,K2-181,0.99,1.07,5608.0,0.23,364.82,Unknown,2018,2021-02-05,Published in a refereed paper
K2-182 b,Confirmed,0.063,0.24,4.7369683,0.0526,0.04,Primary Transit,K2-182,0.88,0.8,5165.0,0.09,155.9,Unknown,2018,2021-10-15,Published in a refereed paper
K2-183 b,Confirmed,0.37,0.232,0.5700292145,0.012,0.062,Primary Transit,K2-183,0.95,0.9685,5436.47,0.0642,329.041,G6V,2018,2024-07-10,Published in a refereed paper
K2-183 c,Confirmed,0.37,0.256,10.792635,0.0932,0.062,Primary Transit,K2-183,0.95,0.9685,5436.47,0.0642,329.041,G6V,2018,2024-07-10,Published in a refereed paper
K2-183 d,Confirmed,0.37,0.255,22.631964,0.1527,0.062,Primary Transit,K2-183,0.95,0.9685,5436.47,0.0642,329.041,G6V,2018,2024-07-10,Published in a refereed paper
K2-183 e,Confirmed,0.37,0.1097,2.1529,0.0318,0.062,Primary Transit,K2-183,0.95,0.9685,5436.47,0.0642,329.041,G6V,2020,2024-07-10,Published in a refereed paper
K2-184 b,Confirmed,0.37,0.138,16.995731,0.1229,0.062,Primary Transit,K2-184,0.86,0.78,5220.0,-0.07,75.79,Unknown,2018,2021-02-05,Published in a refereed paper
K2-185 b,Confirmed,0.37,0.117,10.616646,0.102,0.062,Primary Transit,K2-185,0.96,0.94,5788.0,-0.1,268.357,G2V,2018,2021-02-05,Published in a refereed paper
K2-185 c,Confirmed,0.37,0.2132,52.713494,0.2696,0.062,Primary Transit,K2-185,0.96,0.94,5788.0,-0.1,268.357,G2V,2018,2024-06-09,Published in a refereed paper
K2-186 b,Confirmed,0.37,0.283,41.474219,0.102,0.062,Primary Transit,K2-186,1.02,0.98,5784.0,0.06,333.84,Unknown,2018,2021-02-05,Published in a refereed paper
K2-187 b,Confirmed,0.37,0.116,0.77392,0.0164,0.062,Primary Transit,K2-187,0.98,0.92,5484.0,0.23,333.51,Unknown,2018,2021-02-05,Published in a refereed paper
K2-187 c,Confirmed,0.37,0.161,2.872042,0.0392,0.062,Primary Transit,K2-187,0.98,0.92,5484.0,0.23,333.51,Unknown,2018,2021-02-05,Published in a refereed paper
K2-187 d,Confirmed,0.37,0.283,7.14921,0.072,0.062,Primary Transit,K2-187,0.98,0.92,5484.0,0.23,333.51,Unknown,2018,2021-02-05,Published in a refereed paper
K2-187 e,Confirmed,0.37,0.212,13.609878,0.1106,0.062,Primary Transit,K2-187,0.98,0.92,5484.0,0.23,333.51,Unknown,2018,2021-02-05,Published in a refereed paper
K2-188 b,Confirmed,0.37,0.12,1.742169,0.0289,0.062,Primary Transit,K2-188,1.06,1.19,5977.0,-0.01,452.9,Unknown,2018,2021-02-05,Published in a refereed paper
K2-188 c,Confirmed,0.37,0.252,7.810253,0.0785,0.062,Primary Transit,K2-188,1.06,1.19,5977.0,-0.01,452.9,Unknown,2018,2021-02-05,Published in a refereed paper
K2-189 b,Confirmed,0.37,0.136,2.588309,0.0361,0.062,Primary Transit,K2-189,0.94,0.87,5519.0,0.0,243.93,Unknown,2018,2021-02-05,Published in a refereed paper
K2-189 c,Confirmed,0.37,0.223,6.679195,0.068,0.062,Primary Transit,K2-189,0.94,0.87,5519.0,0.0,243.93,Unknown,2018,2021-02-05,Published in a refereed paper
K2-18 b,Confirmed,0.02807,0.211,32.939623,0.1429,0.2,Primary Transit,K2-18,0.36,0.41,3457.0,0.12,38.07,M2.5 V,2015,2024-09-11,Published in a refereed paper
K2-18 c,Confirmed,0.37,0.219,8.962,0.06,0.47,Radial Velocity,K2-18,0.36,0.41,3457.0,0.12,38.07,M2.5 V,2017,2021-02-05,Published in a refereed paper
K2-190 b,Confirmed,0.37,0.121,10.098858,0.102,0.062,Primary Transit,K2-190,0.9,0.91,5631.0,-0.19,161.42,Unknown,2018,2021-02-05,Published in a refereed paper
K2-190 c,Confirmed,0.37,0.098,21.574023,0.102,0.062,Primary Transit,K2-190,0.9,0.91,5631.0,-0.19,161.42,Unknown,2018,2021-02-05,Published in a refereed paper
K2-191 b,Confirmed,0.37,0.141,2.858646,0.102,0.062,Primary Transit,K2-191,0.9,0.84,5176.0,0.31,289.57,Unknown,2018,2021-02-05,Published in a refereed paper
K2-192 b,Confirmed,0.37,0.136,4.162817,0.049,0.062,Primary Transit,K2-192,0.9,0.81,5222.0,0.15,223.99,Unknown,2018,2021-02-05,Published in a refereed paper
K2-193 b,Confirmed,0.37,0.352,14.786889,0.1184,0.062,Primary Transit,K2-193,1.01,0.98,5817.0,0.0,416.91,Unknown,2018,2021-02-05,Published in a refereed paper
K2-194 b,Confirmed,0.37,0.325,39.721386,0.102,0.062,Primary Transit,K2-194,1.11,1.28,5979.0,0.1,640.65,Unknown,2018,2021-02-05,Published in a refereed paper
K2-195 b,Confirmed,0.37,0.279,15.852975,0.1208,0.062,Primary Transit,K2-195,0.94,0.99,5713.0,-0.1,317.83,Unknown,2018,2021-02-05,Published in a refereed paper
K2-195 c,Confirmed,0.37,0.23,28.482786,0.102,0.062,Primary Transit,K2-195,0.94,0.99,5713.0,-0.1,317.83,Unknown,2018,2021-02-05,Published in a refereed paper
K2-196 b,Confirmed,0.37,0.321,48.324222,0.102,0.062,Primary Transit,K2-196,1.16,1.54,6045.0,0.01,594.09,Unknown,2018,2021-02-05,Published in a refereed paper
K2-197 Ab,Confirmed,0.37,0.228,8.357881,0.0806,0.062,Primary Transit,K2-197 A,1.0,0.93,5667.0,0.08,249.59,G3V,2018,2024-08-01,Published in a refereed paper
K2-198 b,Confirmed,0.37,0.374,17.0428683,0.09083,0.062,Primary Transit,K2-198,0.8,0.76,5212.9,,110.91,Unknown,2018,2021-02-05,Published in a refereed paper
K2-198 c,Confirmed,0.37,0.127,3.3596055,0.03077,0.062,Primary Transit,K2-198,0.8,0.76,5212.9,,110.91,Unknown,2019,2021-02-05,Published in a refereed paper
K2-198 d,Confirmed,0.37,0.218,7.4500177,0.05234,0.062,Primary Transit,K2-198,0.8,0.76,5212.9,,110.91,Unknown,2019,2021-02-05,Published in a refereed paper
K2-199 b,Confirmed,0.0217,0.1543,3.2253993,0.0382,0.02,Primary Transit,K2-199,0.73,0.68,4648.0,-0.11,107.97,Unknown,2018,2021-10-15,Published in a refereed paper
K2-199 c,Confirmed,0.039,0.2543,7.3744897,0.0662,0.03,Primary Transit,K2-199,0.73,0.68,4648.0,-0.11,107.97,Unknown,2018,2021-10-15,Published in a refereed paper
K2-19 b,Confirmed,0.1019,0.691,7.9194,0.074,0.2,Primary Transit,K2-19,0.93,0.86,5430.0,0.1,292.14,G9 V,2015,2021-02-05,Published in a refereed paper
K2-19 c,Confirmed,0.034,0.434,11.90715,0.0971,0.21,Primary Transit,K2-19,0.93,0.86,5430.0,0.1,292.14,G9 V,2015,2021-02-05,Published in a refereed paper
K2-19 d,Confirmed,0.031,0.102,2.50856,0.0344,0.062,Primary Transit,K2-19,0.93,0.86,5430.0,0.1,292.14,G9 V,2016,2021-02-05,Published in a refereed paper
K2-200 Ab,Confirmed,0.37,0.122,2.849883,0.102,0.062,Primary Transit,K2-200 A,0.86,0.79,5233.0,-0.04,185.09,G8V,2018,2024-08-01,Published in a refereed paper
K2-2016-BLG-0005L b,Confirmed,1.1,0.219,10.924709,4.18,0.062,Microlensing,K2-2016-BLG-0005L,0.584,0.96,5540.0,,5200.0,Unknown,2022,2022-04-01,Published in a refereed paper
