kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
5021174,K03679.01,0,0.0,4.04506346,67.94,1143.0,402.77,5780.0,1.0,4.438,17.705
9025971,K03680.01,2,0.999,141.2415405,11.49,352.0,3.62,5705.0,1.017,4.397,14.524
2581316,K03681.01,2,0.86,217.83184293,11.17,343.0,3.29,6259.0,1.167,4.385,11.69
9973109,K02018.02,1,0.995,16.0988294,1.14,705.0,58.53,5657.0,0.911,4.401,14.55
6314185,K03752.01,0,0.0,1.433262145,5.67,1769.0,2319.46,5977.0,1.068,4.318,14.888
8620561,K03753.01,0,0.0,0.782046543,43.07,1372.0,836.18,4768.0,0.591,4.661,16.784
8937019,K03754.01,0,0.0,5.663604992,54.55,1021.0,257.36,5780.0,1.0,4.438,17.93
9896435,K03755.01,0,0.0,18.076610347,39.16,533.0,19.14,4848.0,0.764,4.55,16.636
10352938,K03756.01,0,0.0,6.47173281,13.68,1338.0,757.69,6318.0,1.685,4.079,14.35
10676927,K03830.01,0,0.0,1.031100362,27.35,1584.0,1491.65,5666.0,0.752,4.601,17.022
5649836,K03831.01,0,0.0,0.597933142,63.46,2161.0,5169.99,5780.0,1.0,4.438,16.377
7620660,K03832.01,0,0.0,5.36652724,7.97,982.0,219.72,5858.0,0.849,4.553,15.48
3836399,K03834.01,0,0.0,1.540392098,17.63,1210.0,506.98,4911.0,0.724,4.564,14.449
2581554,K03835.01,2,0.995,47.1484324,2.58,391.0,5.5,4975.0,0.734,4.579,12.86
3128552,K02055.03,2,1.0,2.50475282,1.48,1369.0,828.59,5509.0,1.116,4.308,14.523
10363115,K03908.01,2,0.618,59.3627946,2.23,566.0,24.33,5786.0,1.471,4.106,12.07
5966810,K03909.01,1,0.97,247.891041,4.74,367.0,4.27,6121.0,1.536,4.163,14.948
10491062,K03910.01,0,0.0,2.199076661,21.72,1179.0,457.33,5310.0,0.791,4.565,15.339
9761615,K03911.01,2,1.0,1.79110997,1.29,1549.0,1356.76,6040.0,0.999,4.469,14.496
4058881,K03912.01,0,0.001,7.77241144,1.69,938.0,183.58,6014.0,0.993,4.486,15.327
6863158,K07793.01,1,0.602,1.99469354,0.46,758.0,78.2,3799.0,0.51,4.738,15.846
2581316,K03681.02,2,0.994,10.51421162,1.25,943.0,187.06,6259.0,1.167,4.385,11.69
8621353,K03682.01,0,0.0,11.344347453,62.52,810.0,101.92,5780.0,1.0,4.438,17.953
10795103,K03683.01,2,1.0,214.3120439,9.17,380.0,4.93,6471.0,1.357,4.287,12.04
9394601,K03684.01,0,0.027,0.876826336,37.24,2042.0,4095.0,6344.0,0.962,4.481,12.29
8494410,K03685.01,0,0.0,208.86909724,29.95,316.0,2.34,5914.0,0.987,4.421,14.461
8494410,K03685.02,2,1.0,7.2593226,1.57,967.0,206.88,5914.0,0.987,4.421,14.461
6863161,K03757.01,0,0.0,1.98663794,134.5,3234.0,25932.61,9191.0,2.619,3.973,14.726
7840035,K03758.01,0,0.0,13.54208867,26.65,727.0,66.01,5496.0,0.927,4.405,16.9
8543279,K03759.01,0,0.0,7.549303633,34.45,794.0,93.96,5402.0,0.815,4.581,15.992
8047283,K03760.01,0,0.0,0.77544539,35.53,1883.0,2974.07,5861.0,0.865,4.546,15.64
8308347,K03761.01,1,0.0,164.950399,11.23,252.0,0.95,5001.0,0.664,4.603,15.473
7090867,K07810.01,0,0.0,308.255238,18.98,576.0,26.05,4852.0,7.797,2.896,13.444
7612691,K03836.01,0,0.0,3.46724809,2.52,841.0,118.15,4969.0,0.543,4.713,15.889
9761573,K03837.01,0,0.0,7.4413445,43.5,1136.0,393.59,6540.0,1.183,4.321,14.114
8042789,K03838.01,0,0.0,4.618309224,25.43,947.0,190.56,5452.0,0.815,4.572,15.757
10095484,K03839.01,0,0.0,0.677761275,22.15,1906.0,3136.01,5699.0,0.853,4.553,14.382
5467102,K03840.01,0,0.0,2.845739012,44.7,1294.0,663.42,5982.0,0.96,4.493,15.362
6780367,K07789.01,0,0.358,175.358905,2.9,420.0,7.36,5109.0,2.02,3.757,13.385
10281221,K03913.01,1,1.0,0.582895412,5.87,2347.0,7152.6,6263.0,1.009,4.46,14.972
6525946,K02093.03,1,0.994,0.496069986,10.0,6285.0,369989.68,5096.0,8.769,2.435,15.357
5471496,K03914.01,0,0.0,12.42618005,3.48,551.0,21.8,4624.0,0.684,4.619,15.889
4544620,K03915.01,0,0.0,2.189090653,23.25,1185.0,466.32,5401.0,0.777,4.593,15.875
5784777,K03916.01,2,1.0,5.33905606,1.9,817.0,105.25,5057.0,0.704,4.573,15.362
6863187,K07794.01,0,0.0,1.99492332,0.94,1451.0,1044.18,5957.0,0.971,4.498,15.634
6949061,K01960.02,2,0.992,23.2218115,2.42,746.0,73.08,5808.0,1.374,4.185,14.128
9719636,K03686.01,0,0.015,3.351573993,24.15,1282.0,638.3,5984.0,1.033,4.408,17.279
2452440,K03687.01,0,0.0,8.097050622,24.01,891.0,149.48,5753.0,0.894,4.423,16.474
5020034,K03688.01,0,0.0,2.119107262,77.23,1851.0,2775.75,6381.0,1.423,4.155,15.812
7017372,K03689.01,1,1.0,5.24088367,12.74,1320.0,716.85,6452.0,1.305,4.241,14.014
6974867,K07800.01,0,0.0,0.887691177,1.53,2709.0,12704.16,5500.0,2.491,3.775,12.386
7102316,K02028.03,2,0.985,142.545,2.52,318.0,2.42,5642.0,0.846,4.542,15.99
11518142,K03762.01,2,0.999,240.7990472,10.31,342.0,3.22,5758.0,1.385,4.168,14.822
3114667,K03763.01,0,0.0,0.888584158,43.7,1211.0,507.14,4324.0,0.616,4.639,17.375
12109845,K03765.01,0,0.0,0.865959015,144.5,1162.0,434.65,4561.0,0.469,4.788,16.44
3954227,K03766.01,0,0.4808294015396076,0.594276199,266.99,1564.0,1414.7,4756.0,0.667,4.603,15.985
8651551,K03841.01,0,0.0,1.527491117,27.85,988.0,224.31,4273.0,0.595,4.652,15.935
7115550,K07811.01,0,0.0,0.566814046,0.56,2039.0,4073.9,5724.0,0.827,4.53,14.225
9532637,K03842.01,0,0.0,0.61496383,44.79,1460.0,1074.84,4509.0,0.663,4.612,17.453
5305451,K03843.01,0,0.0,161.253747,4.98,295.0,1.8,5570.0,0.803,4.573,15.397
7174349,K03844.01,0,0.0,2.974163938,34.74,1266.0,605.99,5780.0,1.0,4.438,19.294
11824218,K03845.01,0,0.0,15.84131693,670.04,2252.0,6085.07,4993.0,19.695,2.399,13.724
3128552,K02055.04,1,0.4808294015396076,6.13074243,1.26,916.0,166.78,5741.0,0.833,4.556,14.523
10788461,K03925.01,2,1.0,9.2075634,5.5,972.0,211.08,5678.0,1.303,4.215,14.026
10788461,K03925.02,2,1.0,2.5903958,2.55,1484.0,1147.44,5678.0,1.303,4.215,14.026
10788461,K03925.03,2,0.999,5.3235335,2.69,1167.0,438.71,5678.0,1.303,4.215,14.026
11667548,K03926.01,0,0.0,0.831741499,41.62,2198.0,5501.14,6343.0,1.14,4.408,15.61
8868649,K03927.01,0,0.0,4.44737112,2.06,1068.0,307.65,5472.0,0.981,4.382,14.016
9715939,K03690.01,0,0.0,12.893018017,62.52,1004.0,240.5,6387.0,1.408,4.178,15.517
6887030,K07795.01,1,1.0,5.44085762,0.97,892.0,149.44,5519.0,0.762,4.59,14.81
4751083,K03691.01,0,0.0,4.532416322,62.25,1328.0,735.27,6306.0,1.281,4.283,16.028
4751083,K03691.02,0,0.4808294015396076,2.26631937,102.89177806760135,1085.3858276274318,7745.737022611707,5706.8232800782525,1.7287115530920552,4.310156613411586,16.028
5903301,K03692.01,0,0.813,1.160153553,60.47,2183.0,5363.78,6200.0,1.382,4.161,15.149
7695087,K03693.01,0,0.0,4.032760214,378.61,2582.0,10499.43,4969.0,9.433,2.899,14.734
6200709,K03694.01,0,0.024,3.723552982,18.83,1176.0,452.71,6063.0,0.89,4.51,16.72
8323764,K03767.01,1,0.0,6.714247798,14.78,809.0,100.94,5159.0,0.8,4.508,17.376
7013923,K07801.01,0,0.0,2.21396079,0.87,1123.0,375.04,4922.0,0.823,4.505,15.844
5360082,K03768.01,0,0.0,11.35501209,8.0,534.0,19.29,4594.0,0.567,4.679,14.772
6543683,K03769.01,0,0.0,1.195515251,49.33,1959.0,3469.7,6040.0,1.155,4.271,13.998
5008245,K03770.01,1,1.0,2.60720833,7.31,1561.0,1403.43,6366.0,1.236,4.352,14.103
10555365,K03771.01,0,1.0,5.80184753,14.0,989.0,225.81,5687.0,0.921,4.426,16.605
5481426,K03772.01,0,0.0,2.38404983,66.14,1363.0,815.42,5780.0,1.0,4.438,19.319
7983756,K03846.01,0,0.0,5.24078259,24.73,1080.0,322.16,6192.0,0.917,4.503,14.483
7289165,K03847.01,0,0.0,5.26641416,2.62,1421.0,964.18,6338.0,1.602,4.087,12.859
12784167,K03848.01,2,1.0,1.847892736,1.51,1374.0,843.8,5763.0,0.842,4.557,14.216
8949316,K03849.01,0,0.955,0.604358764,23.28,997.0,235.63,3569.0,0.427,4.82,16.182
