P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
Kepler-1602 b,Transit,Kepler,2016,16-04-2019,2.36,,,0,M-R relationship,1.34,-0.23,0.58,0,11.179316,-7.50E-05,7.5040000e-05,0,0.1074,,,0,0,,,0,89.15,,,0,,,,0,Kepler-1602,,,,293.58086,40.42754,19h34m19.41s,+40d25m39.14s,13.362,-0.114,0.114,629.804,-5.469,5.564,6296,-152.7,217.69,0,1.22,-0.11,0.2,0,1.36,-0.22,0.58,0,0.02,-0.168,0.119,0,2.51,-0.85,1.13,0,0.201,-0.02,0.018,0,4.25,-0.24,0.12,0,1.3270999,1.761194,1.3143239,0.98083873,0.001338567,0.1074,0.1074,0.1074,0.1074,137.71823,137.71823,137.71823,872.66502,872.66502,872.66502,985.53801,985.53801,985.53801,Terran,F,19 34 19.41,+40 25 39.14,1.5885467,0.91656718,2.1347021,1.1609293,2.0238922,1.227093,2.0238922,1.1205628,2.0238922,3.4030142,5.2782829,0.4456122,0,0,Hot,0,0.29555545,Cygnus,Cyg,Swan
GJ 163 d,Radial Velocity,La Silla Observatory,2013,24-01-2017,29.4,-2.9,2.9,0,Msini,5.92,,,0,603.95116,-7.55862,7.55862,0,1.0304,-0.0086,0.0086,0,0.373,-0.077,0.077,0,,,,0,118.3,-20.5,20.5,0,GJ 163,,HIP 19394,M,62.322835,-53.371177,04h09m17.48s,-53d22m16.24s,11.79,-0.1,0.1,15.1285,-0.0072,0.0072,3500,-100,100,0,0.4,-0.02,0.02,0,0.41,-0.01,0.01,0,0.1,-0.1,0.1,0,6,-4,4,0,-1.708,-0.023,0.022,0,4.82,0,0,0,2.2285009,4.9662162,0.83888787,0.14170403,0.027069969,1.1020793,0.6460608,1.4147392,1.0491961,0.01988471,0.009786947,0.046930288,93.04036,80.123796,118.56678,,90.487237,133.90254,Neptunian,M,04 09 17.48,-53 22 16.24,0.019588447,0.11447253,0.29705697,0.14499596,0.2816314,0.1537207,0.2816314,0.13995958,0.2816314,0.37788858,0.029847885,0.35530668,0,0,Cold,0,0.15471048,Dorado,Dor,Goldfish
eps Tau b,Radial Velocity,Okayama Astrophysical Observatory,2006,19-09-2023,2285.1863,-17.79839,17.79839,0,Msini,12.7,,,0,585.82,-0.33,0.26,0,1.878,-0.001,0.001,0,0.076,-0.008,0.009,0,,,,0,107.9,-6.07,6.82,0,eps Tau,HD 28305,HIP 20889,K0 III,67.154657,19.180278,04h28m37.12s,+19d10m49.00s,3.523,-0.023,0.023,47.52852,-1.85235,1.85235,4877,,,0,2.57,-0.25,0.17,0,12.35,-0.36,0.41,0,0.1,-0.1,0.11,0,,,,0,1.893,-0.034,0.03,0,2.66,-0.05,0.03,0,13.41402,179.93593,14.168183,1.115605,0.16690998,1.8834237,1.735272,2.020728,1.8793585,22.226276,19.141866,25.957621,552.51604,532.83872,574.99746,,601.75761,649.36928,Jovian,K,04 28 37.12,+19 10 49.00,78.16278,6.9643706,16.922639,8.8214219,16.044171,9.3368623,16.044171,8.516157,16.044171,23.870624,0.59102934,0.6319201,0,0,Hot,0,0.11554057,Taurus,Tau,Bull
11 Com b,Radial Velocity,Xinglong Station,2007,19-09-2023,4914.8985,-39.72855,39.09289,0,Msini,12.2,,,0,323.21,-0.05,0.06,0,1.178,0,0,0,0.238,-0.007,0.007,0,,,,0,91.33,-1.8,1.7,0,11 Com,HD 107383,HIP 60202,G8 III,185.17878,17.793252,12h20m42.91s,+17d47m35.71s,4.72307,-0.023,0.023,93.1846,-1.9238,1.9238,4874,,,0,2.09,-0.63,0.64,0,13.76,-2.45,2.85,0,-0.26,-0.1,0.1,0,,,,0,1.978,-0.159,0.18,0,2.45,-0.08,0.08,0,20.071386,402.86053,33.021355,2.7066684,0.11940108,1.2113633,0.897636,1.458364,1.1865001,70.529631,44.695946,117.97758,730.24033,658.66827,839.55582,,743.86231,948.14638,Jovian,G,12 20 42.91,+17 47 35.71,95.060479,7.6813966,18.667262,9.7296437,17.69823,10.298188,17.69823,9.3929507,17.69823,26.32472,0.54883493,0.58983865,0,0,Hot,0,0.087643878,Coma Berenices,Com,Berenice's Hair
HD 4732 b,Radial Velocity,Multiple Observatories,2012,19-09-2023,631.20722,-48.94557,49.58123,0,Msini,13.4,,,0,371.74,-1.86,0.72,0,1.129,-0.004,0.001,0,0.266,-0.068,0.081,0,,,,0,62.62,-11.1,9.68,0,HD 4732,HD 4732,HIP 3834,K0 IV,12.308509,-24.136908,00h49m14.04s,-24d08m12.87s,5.9,-0.03,0.03,54.7841,-0.1708,0.1708,4898,,,0,1.39,-0.17,0.15,0,5.03,-0.13,0.12,0,-0.01,-0.11,0.05,0,1.47,-0.2,0.2,0,1.118,-0.027,0.026,0,3.17,-0.06,0.05,0,6.8633094,47.105016,3.5152997,0.2623358,0.063712939,1.1689418,0.828686,1.429314,1.1392253,10.679409,6.4231003,19.10821,454.24996,405.54204,532.60435,,457.99601,601.49292,Jovian,K,00 49 14.04,-24 08 12.87,13.121999,2.8508274,6.9211651,3.6110002,6.5618826,3.8218999,6.5618826,3.486039,6.5618826,9.780561,0.49923468,0.4257121,0,0,Hot,0,0.15491039,Cetus,Cet,Whale
Gl 378 b,Radial Velocity,Haute-Provence Observatory,2019,01-03-2019,13.02,-2.01,2.03,0,Msini,3.66,,,0,3.822,-0.001,0.001,0,0.039435,-0.00023,0.00023,0,0.109,-0.077,0.131,0,,,,0,210.6,-116.9,79.8,0,Gl 378,,HIP 49189,M1,150.58655,48.082451,10h02m20.77s,+48d04m56.83s,10.03,-0.1,0.1,14.9545,-0.00725,0.00725,3879,-67,67,0,0.56,-0.01,0.01,0,0.56,-0.02,0.02,0,0.06,-0.09,0.09,0,,,,0,-1.222,-0.079,0.067,0,4.69,-0.01,0.01,0,1.886101,3.557377,0.97196094,0.2655631,0.001003119,0.039669264,0.035136585,0.043733415,0.039493796,38.799996,31.359795,48.582617,634.35924,602.82744,672.54281,,680.79887,759.53142,Neptunian,M,10 02 20.77,+48 04 56.83,0.059979108,0.19913421,0.50707748,0.25223404,0.48074983,0.26729486,0.48074983,0.24349007,0.48074983,0.66124708,0.06403267,0.38025984,0,0,Hot,0,0.21646541,Ursa Major,UMa,Big Bear
BD+48 740 b,Radial Velocity,Multiple Observatories,2018,01-02-2018,540.311,-222.481,222.481,0,Msini,13.5,,,0,733,-8,5,0,1.7,-0.1,0.1,0,0.76,-0.09,0.05,0,,,,0,100,-15,12,0,BD+48 740,,HIP 12684,K3 III,40.742543,48.930058,02h42m58.21s,+48d55m48.21s,8.69,-0.03,0.03,666.589,-21.5335,21.5335,4534,-8,8,0,1.09,-0.16,0.16,0,10.33,-1.81,1.81,0,-0.13,-0.06,0.06,0,,,,0,1.64,-0.12,0.12,0,2.48,-0.04,0.04,0,6.3263763,40.023037,2.9646694,0.21960514,0.032298661,2.19096,0.408,2.992,1.8557019,23.240218,4.8761474,262.22837,480.66844,378.54622,1025.108,,427.50847,1157.6984,Jovian,K,02 42 58.21,+48 55 48.21,43.651583,5.2771419,13.017351,6.6843205,12.341585,7.0777794,12.341585,6.4530121,12.341585,17.838723,0.24633249,0.47478096,0,0,Hot,0,0.10978786,Perseus,Per,Perseus
Kepler-1109 b,Transit,Kepler,2016,16-04-2019,5.43,,,0,M-R relationship,2.19,-0.23,0.44,0,37.646738,-0.000212,0.000212,0,0.2466,,,0,0,,,0,89.99,,,0,,,,0,Kepler-1109,,,,291.64627,39.396612,19h26m35.10s,+39d23m47.80s,14.405,-0.126,0.126,685.087,-10.1045,10.1045,5893,-163.52,111.41,0,1.05,-0.07,0.07,0,1.06,-0.11,0.21,0,0.04,-0.147,0.141,0,3.8,-2.11,2.6,0,-0.076,,,0,4.41,-0.15,0.07,0,1.5746276,2.4794521,1.1321699,0.51697255,0.004265617,0.2466,0.2466,0.2466,0.2466,13.804283,13.804283,13.804283,491.02451,491.02451,491.02451,554.53503,554.53503,554.53503,Superterran,G,19 26 35.10,+39 23 47.80,0.83945999,0.68282688,1.6039933,0.86488214,1.5207315,0.91447095,1.5207315,0.83486272,1.5207315,2.4737953,2.5123701,0.45420496,0,0,Hot,0,0.33396012,Lyra,Lyr,Lyre
Kepler-85 c,Transit,Kepler,2012,25-09-2018,20.9,-5.6,6.2,0,Mass,2.18,-0.1,0.1,0,12.513,,,0,0.1007,,,0,0,,,0,88.14,,,0,,,,0,Kepler-85,,,,290.97344,45.290276,19h23m53.63s,+45d17m24.99s,14.89,-0.057,0.057,765.025,-13.219,13.683,5499,-66.05,87.6,0,0.92,-0.27,0.4,0,1.24,-0.05,0.05,0,0,-0.103,0.101,0,4.37,-2.43,3.31,0,-0.212,,,0,4.22,-0.15,0.15,0,3.0963133,9.587156,4.397778,2.0173293,0.002852775,0.1007,0.1007,0.1007,0.1007,60.525873,60.525873,60.525873,710.53418,710.53418,710.53418,802.4367,802.4367,802.4367,Superterran,G,19 23 53.63,+45 17 24.99,0.61376201,0.5976628,1.4195127,0.75701965,1.3458268,0.80071566,1.3458268,0.730785,1.3458268,2.11526,1.2217415,0.44487126,0,0,Hot,0,0.26728734,Cygnus,Cyg,Swan
Kepler-1196 b,Transit,Kepler,2016,16-04-2019,5.6,,,0,M-R relationship,2.23,-0.21,0.37,0,66.184903,-0.0004661,0.0004661,0,0.3179,,,0,0,,,0,89.03,,,0,,,,0,Kepler-1196,,,,292.36958,43.910866,19h29m28.70s,+43d54m39.12s,15.009,-0.057,0.057,922.333,-19.17,19.987,5756,-149.1,129.38,0,0.98,-0.06,0.06,0,0.97,-0.09,0.15,0,0,-0.166,0.13,0,3.98,-2.27,3.54,0,-0.047,,,0,4.46,-0.13,0.06,0,1.58468,2.5112108,1.1261035,0.50497914,0.005684991,0.3179,0.3179,0.3179,0.3179,8.8801222,8.8801222,8.8801222,439.74858,439.74858,439.74858,496.62692,496.62692,496.62692,Superterran,G,19 29 28.70,+43 54 39.12,0.89742879,0.71187609,1.6781457,0.90167985,1.5910346,0.95349402,1.5910346,0.87040124,1.5910346,2.5577834,1.9403394,0.4473156,0,0,Hot,0,0.37504574,Cygnus,Cyg,Swan
Kepler-203 d,Transit,Kepler,2014,16-04-2019,33.9,-33.2,183.4,0,Mass,1.44,-0.28,0.28,0,11.32972,-8.00E-05,8.0000000e-05,0,0.1,,,0,0,,,0,89.91,,,0,,,,0,Kepler-203,,,,297.08996,41.388069,19h48m21.59s,+41d23m17.05s,14.14,-0.137,0.137,703.302,-9.51,9.51,5821,-100,100,0,1,-0.04,0.05,0,1.11,-0.21,0.21,0,0.048,-0.058,0.058,0,0.5,-2.6,2.6,0,0.094,,,0,4.36,-0.15,0.15,0,4.8519755,23.541667,16.34838,11.353041,0.003237316,0.1,0.1,0.1,0.1,124.16523,124.16523,124.16523,850.3539,850.3539,850.3539,960.34111,960.34111,960.34111,Terran,G,19 48 21.59,+41 23 17.05,1.2416523,0.83407539,1.9628431,1.0564586,1.8609538,1.117102,1.8609538,1.019801,1.8609538,3.0085952,2.1842383,0.31870326,0,0,Hot,0,0.29260489,Cygnus,Cyg,Swan
