tSNE1,tSNE2,Habitability
-21.172173,53.13128,0
-4.317302,58.715923,0
13.314431,63.111526,0
13.312443,63.12107,0
-2.2446482,62.27672,0
-2.4886305,55.831875,0
14.121891,45.961163,0
-19.355194,37.49477,0
-19.4117,37.511864,0
-19.367088,37.516644,0
-7.106851,50.71112,0
-4.476216,58.927605,0
-30.002945,50.67895,0
-9.995585,54.45109,0
12.422384,58.384903,0
-1.8987763,-8.564445,0
-5.039207,58.612198,0
11.579835,60.18902,0
11.647355,60.16636,0
15.247698,64.09963,0
-2.5486646,-10.092457,0
-1.4618039,57.865273,0
-4.7208686,67.65643,0
15.000097,44.999027,0
-10.857591,67.463974,0
-9.8339405,54.61366,0
13.0120325,61.57352,0
15.358129,26.008362,0
-25.720446,53.0653,0
-28.169424,13.412542,0
-20.01484,-11.90639,0
-20.04342,-11.962027,0
-20.057205,-12.004374,0
-9.771599,58.28629,0
-24.325094,41.37253,0
-2.9496343,58.430996,0
-22.501827,55.693325,0
-11.64024,57.78743,0
7.0679426,57.10266,0
7.4551315,56.79268,0
-3.2400908,-18.524004,0
-8.846853,25.045893,0
3.154832,67.96366,0
-7.4601703,53.867996,0
-24.238035,34.05947,0
6.3449974,65.45127,0
36.02975,29.510653,0
-4.481612,56.58316,0
16.936243,65.152306,0
10.487782,71.70102,0
-11.524579,54.954792,0
23.586077,20.187813,0
-7.831884,56.626274,0
35.657722,28.80459,0
-2.00283,58.61451,0
24.57209,21.79997,0
-6.961665,46.323532,0
-6.145577,-9.370411,0
7.8742847,67.613846,0
0.79393494,60.640728,0
-2.3488178,60.2968,0
11.128481,60.72747,0
-6.1806874,-16.9609,0
3.283864,57.666336,0
2.476759,57.783432,0
-10.739165,53.9104,0
-5.6006093,46.250866,0
-11.106412,54.951565,0
-10.663602,53.994392,0
-27.391624,56.23118,0
-8.397192,56.787743,0
-11.600483,59.40015,0
-27.136993,56.760227,0
15.256471,63.90854,0
-27.044104,12.238288,0
-11.642663,59.568306,0
-9.195181,58.375195,0
-9.914078,54.95239,0
-4.8924212,53.086334,0
-30.83564,40.262337,0
-12.128199,58.19352,0
-11.33116,54.197212,0
-19.778814,41.673927,0
-5.6151085,40.23314,0
-32.001156,45.58385,0
-2.2970185,65.12924,0
-34.965157,6.5654554,0
-50.207005,28.46228,0
-2.6535091,45.51052,0
-2.0777056,-18.112839,0
-8.313155,67.017136,0
-5.27471,-8.6921015,0
14.752458,57.458126,0
14.652469,57.428997,0
14.341366,58.124306,0
14.651832,57.6278,0
14.341771,58.124325,0
-33.2661,44.30673,0
-31.298769,42.285828,0
-16.156017,41.60856,0
-16.103268,41.602177,0
-31.440266,40.065296,0
-32.380978,40.23587,0
-32.27981,40.242508,0
